,osm_id,build_name
0,23398992,AsiaWorld-Expo
1,23399230,Airport Authority Ma
2,25071244,Cathay Pacific Airways
3,25589595,Two International Finan
4,25590249,International Commerce Centre
5,25604760,Bank of China Tower
6,25608273,High Block
7,25608721,II The Cullinan II
8,25637769,Tin Shing Shopping Centre
9,26104148,Sun Yat Sen Memorial
10,26305849,egetable Wholesale Market
11,26305856,ruits Wholesale Market
12,26321423,Queensway Plaza
13,26321459,United Centre
14,26321659,Tung Chung Cable Car Terminal
15,26350554,Telford Garden
16,26379409,Olympian City Two
17,26379774,Olympian City One
18,26434869,The High Court
19,26448717,Festival Walk
20,26469269,Times Square
21,26490011,New Wing
22,26490161,Old Wing
23,26599372,Western Market
24,26599387,Harbour Building
25,27030088,Chi Fu Landmark
26,27087037,Revenue Tower
27,27087041,Wanchai Tower
28,27087076,Wan Chai Swimming Pool
29,27087141,Hong Kong Football Club
30,27250440,Tung Ping House
31,27593630,Grand Promenade
32,27993181,Choi Ming Shopping C
33,27993190,Choi Ming Shopping Centre
34,27993207,Le Point
35,27993214,Metro Town
36,28069671,Airport
37,28104013,Park Central
38,28104047,Tseung Kwan O Pub
39,28104224,Sheung Tak Plaza
40,28109496,Tseung Kwan O Public Li
41,28125501,Residence Oasis
42,28125540,Maritime Bay
43,28125742,East Point City
44,28279911,MTR Tseung Kwan O Depot
45,28379380,SQUARE
46,28647934,Aberdeen Tennis &
47,28721043,Block 1
48,28721052,Block 8
49,28808303,Citybus Chai Wan Depot
50,28808401,Main Block
51,28808404,East Block
52,28808406,Pathology Block
53,28808431,Koway Court
54,28825127,Hang Seng Bank Headquar
55,28845766,Kao Shan Terrace
56,28845847,Cityplaza II
57,28869695,Shing Fai Terrace
58,28869700,Kwun Hoi Terrace
59,28869703,Kam Din Terrace
60,28869715,On Shing Terrace
61,28869760,Kornhill Plaza (North)
62,28869806,Kornhill Plaza (South)
63,29550318,Tsuen Wan Plaza
64,29552308,Tsuen Wan Town Hall
65,29703210,Sam Tung Uk Museum
66,29704593,Tsuen Wan Market
67,30658239,Metropark Hotel Mongkok
68,30774578,Block 1
69,30774595,Block 9
70,30810938,Block 1
71,30810939,Block 5
72,31821565,East Wing
73,31821670,Central Terminal Buildi
74,32530560,One Exchange Square
75,32559156,Sha Tin Public Library
76,32559168,Sha Tin Marriage Registry
77,32559192,Sha Tin Magistrates' Courts
78,32559276,New Town Plaza
79,32559764,Fo Tan Railway House
80,33613654,Tsim Sha Tsui Eas
81,33613720,MTR Hung Hom Building
82,33613722,C鍑哄彛澶у爞 H
83,33613728,Hung Hom Station Car Park
84,33613733,Hong Kong Coliseum
85,33620549,The Metropolis
86,35900294,Silvermine Bay Ferry Pier
87,35935820,Shek Kip Mei Park Sport
88,35936068,Bank of China
89,35973192,Western Police Station
90,35975663,uberge Discovery Bay Hong Kong
91,35975666,Discovery Bay Community Ha
92,35975668,Discovery Bay Pier
93,37416160,Kowloon City Plaza
94,37517415,Mong Kok Government Office Bu
95,37517422,Mong Kok East
96,37517528,MOKO
97,37517585,Royal Plaza Hotel
98,37518025,Hin Keng Sports Centre
99,37518296,MTR Tai Wai Depot
100,37518439,Tai Wai
101,37664321,Former KCR Clock Tower
102,37664345,Hong Kong Cultural Centre
103,37664428,West Wing
104,39315991,Chungking Mansions
105,39888869,Kowloon Bay
106,39950659,Ngau Tau Kok
107,40430283,Tuen Mun
108,40491165,Great Eagle Centre
109,40491170,Harbour Centre
110,40840437,Tsuen Wan West
111,41178206,Siu Hong
112,41415576,Olympic
113,41498695,Two Pacific Place
114,41498759,Conrad Hong Kong
115,41498860,One Pacific Place
116,41498903,Pacific Place
117,41499014,JW钀璞閰掑簵 JW Marriott Hotel Hong Kong
118,41499029,Queensway Government Offic
119,41499072,Queensway Government Offic
120,41499141,British Council
121,41522773,Lamma Power Station Bui
122,41707454,Yuen Long
123,41856916,Tai Shui Hang
124,41888281,Heng On
125,41888442,Wu Kai Sha
126,42255475,Flagstaff House Museum of Tea Wa
127,42257908,Hong Kong Park Sports Cent
128,42258038,Government House
129,42293414,The Court of Final Appeal
130,42351691,Tin Yuet Estate Multi-s
131,42391619,Woodbury Court
132,42391684,Clear View
133,42391686,Bay View
134,42391687,Marine View
135,42391688,Island View
136,42391689,Pine View
137,42391868,Mountain View
138,42756131,Hong Kong SkyCity Marri
139,44417596,Silver Pearl Mansion
140,44417606,Sea View Building
141,44417930,NT Heung Yee Kuk
142,44492905,Wong Chuk Hang Sports Centre
143,44573967,Central Pier 2 (To Park Island)
144,44574053,Central Pier 3 (To Discovery Ba
145,44574055,Central Pier 4
146,44574066,Central Pier 5
147,44574108,Central Pier 6
148,44576342,Central Government Pier
149,44823199,Tai Foo House
150,45725781,Tung Chung
151,45820982,Block E
152,45821831,Block D
153,45821832,Block A
154,45821833,Block B
155,45821834,Block C
156,45821835,Block H
157,45821836,Block G
158,45821837,Block F
159,45821838,Block P
160,45821839,Block N
161,45821840,Block M
162,45821841,Block L
163,45821842,Block Q
164,45821843,Block R
165,45821844,Block S
166,45821845,Block J
167,45821846,Block K
168,47117859,Admiralty Centre
169,47174644,Lippo Centre
170,47174645,Far East Finance Centre
