,osm_id,building_name,date
0,182467493,Graceful Court,19/10/2022
1,1023116431,Nam Pak Hong Building,19/10/2022
2,183152353,Fortune Villa,19/10/2022
3,695857077,Fu Wah Building,19/10/2022
4,692605003,Lucky Building,19/10/2022
5,205754738,Yee Fung Court,19/10/2022
6,168456119,Fairview Mansion,19/10/2022
7,1022525175,Universal Building,19/10/2022
8,448900879,Merry Court,19/10/2022
9,155738218,Luen Hing Apartments,19/10/2022
10,406591144,Hing Lee Building,19/10/2022
11,743371808,Talon Tower,19/10/2022
12,174743082,Kam Shing House,19/10/2022
13,589474811,Kam Tong Building,19/10/2022
14,367544823,Long Mansion,19/10/2022
15,770819288,Richmond Court,19/10/2022
16,202156008,Cadogan,18/10/2022
17,770830209,Tai Hing Building,18/10/2022
18,1023133807,Winsing Building,18/10/2022
19,504642003,Wing Cheung Building,18/10/2022
20,256468175,The Hudson,18/10/2022
21,457375902,Cheung Fai Building,18/10/2022
22,540593467,Fook Sing Court,18/10/2022
23,951843092,Island Crest,18/10/2022
24,155738217,Luen Gay Apartments,18/10/2022
25,155738220,Luen On Apartments,18/10/2022
26,763914525,One ArtLane,18/10/2022
27,969277824,Evora Building,18/10/2022
28,707823919,Serene Court,18/10/2022
29,494460856,Intelligent Court,17/10/2022
30,182208638,Swire Building,17/10/2022
31,197982556,On Wing Building,17/10/2022
32,289375779,Skyline Mansion,17/10/2022
33,738820322,Rich Court,17/10/2022
34,566505865,Hang Fai Building,17/10/2022
35,356689229,Brilliant Court,17/10/2022
36,832192986,To Li Garden,17/10/2022
37,406206188,Ko Shing Building,17/10/2022
38,539895745,Seymour Place,16/10/2022
39,539955761,Borrett Mansions,16/10/2022
40,463043761,Elegance Court,16/10/2022
41,178740246,Man King Building,16/10/2022
42,540115811,Princeton Tower,16/10/2022
43,182467494,Sang Cheong Building,16/10/2022
44,463041705,Woodland Court,16/10/2022
45,485604641,Jade Court,16/10/2022
46,957103739,Pokfield Garden,16/10/2022
47,902702409,Golden Lodge,16/10/2022
48,495258918,Kam Fung Mansion,16/10/2022
49,507822296,Shun Hing Building,16/10/2022
50,692727670,Yu Hing Mansion,16/10/2022
51,969259838,Welland Building,15/10/2022
52,492669836,Cartwright Gardens,15/10/2022
53,492669023,On Fung Building,15/10/2022
54,457923829,Fortuna Building,15/10/2022
55,183152346,Bowie Court,15/10/2022
56,1023120840,Winsome House,15/10/2022
57,155738222,Luen Wai Apartments,15/10/2022
58,666639992,Cordial Mansion,14/10/2022
59,630387481,The Nova,14/10/2022
60,707823919,Serene Court,14/10/2022
61,540326052,Hollywood Centre,14/10/2022
62,182467447,Kam Ling Court,14/10/2022
63,695608056,Shun On Building,14/10/2022
64,153521328,Manhattan Heights,14/10/2022
65,571014898,Tung Fat Building,13/10/2022
66,540389809,Welley Building,13/10/2022
67,757325699,On Fat Building,13/10/2022
68,183152357,Kai Fung Building,13/10/2022
